Character,Pinyin,English
鱼,yu2,"fish (CL:條|条[tiao2],尾[wei3])/used in the names of various aquatic animals that are not fish (including abalone 鮑魚|鲍鱼[bao4yu2], alligators and crocodiles 鱷魚|鳄鱼[e4yu2] and octopi 章魚|章鱼[zhang1yu2])"
虫,chong2,"lower form of animal life, including insects, insect larvae, worms and similar creatures/CL:條|条[tiao2],隻|只[zhi1]/(fig.) person with a particular undesirable characteristic"
草,cao3,variant of 肏[cao4]
和,he2,(literary) harmonious (variant of 和[he2])
请,qing3,to ask/to invite/please (do sth)/to treat (to a meal etc)/to request
吃,chi1,variant of 吃[chi1]
说,shuo1,variant of 說|说[shuo1]
谢,xie4,"to thank/(bound form) to apologize/(bound form) to decline; to refuse/(bound form) (of flowers, leaves etc) to wither"
猫,mao1,used in 貓腰|猫腰[mao2yao1]
狗,gou3,"dog/CL:隻|只[zhi1],條|条[tiao2]"
骨,gu3,bone
同,tong2,see 衚衕|胡同[hu2 tong4]
种,zhong3,to plant/to grow/to cultivate
阿,a1,(literary) to flatter; to curry favor with
姨,yi2,mother's sister/aunt
把,ba3,handle
玉,yu4,jade
秋,qiu1,used in 鞦韆|秋千[qiu1qian1]
收,shou1,to receive/to accept/to collect/to put away/to restrain/to stop/in care of (used on address line after name)
很,hen3,"very; quite/(also, often used before an adjective without intensifying its meaning, i.e. as a meaningless syntactic element)"
叔,shu1,uncle/father's younger brother/husband's younger brother/Taiwan pr. [shu2]
它,ta1,it (pronoun for an animal)
想,xiang3,to think (about)/to think of; to devise/to think (that); to believe (that)/to desire; to want (to)/to miss (feel wistful about the absence of)
呢,ne,dense wool fabric (used for coats and jackets)
落,luo4,to fall or drop/(of the sun) to set/(of a tide) to go out/to lower/to decline or sink/to lag or fall behind/to fall onto/to rest with/to get or receive/to write down/whereabouts/settlement
叶,ye4,leaf/page/lobe/(historical) period/classifier for small boats
吹,chui1,to blow/to play a wind instrument/to blast/to puff/to boast/to brag/to end in failure/to fall through
气,qi4,gas; air/smell/weather/to make angry; to annoy; to get angry/vital energy; qi
凉,liang2,to let sth cool down
从,cong2,from; through; via/(bound form) to follow/(bound form) to obey/(bound form) to engage in (an activity)/(used before a negative) ever/(bound form) (Taiwan pr. [zong4]) retainer; attendant/(bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate/(bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor
枝,zhi1,"branch/classifier for sticks, rods, pencils etc"
躲,duo3,to hide/to dodge/to avoid
当,dang1,at or in the very same.../suitable/adequate/fitting/proper/to replace/to regard as/to think/to pawn/(coll.) to fail (a student)
作,zuo4,"to do; to engage in/to write; to compose/to pretend; to feign/to regard as; to consider to be/to be; to act the part of/to feel (itchy, nauseous etc)/writings; works"
沟,gou1,ditch/gutter/groove/gully/ravine/CL:道[dao4]
蚂,ma3,used in 螞蚱|蚂蚱[ma4zha5]
蚁,yi3,ant
河,he2,"river (CL:條|条[tiao2],道[dao4])/(bound form) the Yellow River/(bound form) the Milky Way/(bound form) (on restaurant menus) rice noodles 河粉[he2fen3]"
游,you2,to walk/to tour/to roam/to travel
过,guo4,(experienced action marker)
藏,cang2,storehouse/depository/Buddhist or Taoist scripture
伞,san3,damask silk/variant of 傘|伞[san3]
